gene_id	gene_name	SRR2179997	SRR2179998
gene-plxnb2b	gene-plxnb2b	0.462213	0.595037
gene-plxnb3	gene-plxnb3	3.066876	3.948498
gene-plxnc1	gene-plxnc1	1.744577	1.561742
gene-plxnd1	gene-plxnd1	7.631044	7.237184
gene-pm20d1.1	gene-pm20d1.1	0.78679	0.68746
gene-pm20d1.2	gene-pm20d1.2	1.118429	1.148001
gene-pmaip1	gene-pmaip1	7.243172	6.547145
gene-pmch	gene-pmch	0	0.083104
gene-pmchl	gene-pmchl	0.103432	0
gene-pmela	gene-pmela	24.709266	34.256026
gene-pmelb	gene-pmelb	8.012325	9.482759
gene-pmepa1	gene-pmepa1	0.734643	1.415801
gene-pmfbp1	gene-pmfbp1	0.397358	0.426835
gene-pmm1	gene-pmm1	0.875793	1.179896
gene-pmm2	gene-pmm2	36.481803	37.444344
gene-pmp22a	gene-pmp22a	183.316725	175.879322
gene-pmp22b	gene-pmp22b	44.605923	48.616603
gene-pmpca	gene-pmpca	27.656639	29.084445
gene-pmpcb	gene-pmpcb	28.035628	30.239086
gene-pms1	gene-pms1	3.559592	3.851007
gene-pms2	gene-pms2	6.64144	7.690102
gene-pmt	gene-pmt	1.062807	1.277338
gene-pmvk	gene-pmvk	2.500102	2.392246
gene-pnck	gene-pnck	0.034258	0
gene-pnhd	gene-pnhd	0.012767	0
gene-pnisr	gene-pnisr	33.798031	35.104763
gene-pnkd	gene-pnkd	3.777816	4.715606
gene-pnkp	gene-pnkp	19.925032	19.183001
gene-pnmt	gene-pnmt	0	0
gene-pnn	gene-pnn	66.522366	61.225596
gene-pno1	gene-pno1	132.618299	133.407012
gene-pnoca	gene-pnoca	0.904396	1.25244
gene-pnocb	gene-pnocb	0.572765	0.454518
gene-pnp4a	gene-pnp4a	6.654959	7.004253
gene-pnp4b	gene-pnp4b	0.182415	0.087887
gene-pnp5a	gene-pnp5a	14.466315	14.645771
gene-pnp5b	gene-pnp5b	3.50358	4.263184
gene-pnp6	gene-pnp6	1.292674	1.570561
gene-pnpla1	gene-pnpla1	0.013794	0.039876
gene-pnpla2	gene-pnpla2	0.805354	0.75378
gene-pnpla3	gene-pnpla3	1.157571	1.035174
gene-pnpla4	gene-pnpla4	0.471689	0.649312
gene-pnpla6	gene-pnpla6	2.31198	2.86326
gene-pnpla7a	gene-pnpla7a	5.583011	7.226565
gene-pnpla7b	gene-pnpla7b	12.090231	13.133701
gene-pnpla8	gene-pnpla8	2.965942	3.43894
gene-pnpo	gene-pnpo	3.641056	4.291529
gene-pnpt1	gene-pnpt1	21.024134	22.299755
gene-pnrc1	gene-pnrc1	1.097773	1.978067
gene-pnrc2	gene-pnrc2	116.357113	118.837128
gene-pnx	gene-pnx	0.755919	1.311123
gene-poc1a	gene-poc1a	14.738835	13.826724
gene-poc1b	gene-poc1b	9.310048	9.830533
gene-poc1bl	gene-poc1bl	6.483487	7.404413
gene-poc5	gene-poc5	4.610843	4.585282
gene-podn	gene-podn	0	0.008828
gene-podxl	gene-podxl	17.340049	18.379372
gene-podxl2	gene-podxl2	1.192672	1.076416
gene-pof1b	gene-pof1b	21.773153	22.348601
gene-pofut1	gene-pofut1	20.31921	20.946324
gene-pofut2	gene-pofut2	9.65464	10.438554
gene-poglut1	gene-poglut1	31.334918	29.772433
gene-poglut2	gene-poglut2	11.394404	12.016159
gene-poglut3	gene-poglut3	15.622917	16.098429
gene-pogza	gene-pogza	10.849413	11.97717
gene-pogzb	gene-pogzb	12.803594	14.480839
gene-pola1	gene-pola1	27.854317	28.606689
gene-pola2	gene-pola2	42.373922	44.19022
gene-polb	gene-polb	44.61135	46.168544
