ID	Description	Cluster	FoldEnrichment	pvalue	p.adjust	p.adjust_hyper	GeneHits	GeneSetSize	RegionHits
GO:0072348	sulfur compound transport	actinopterygii	5.57762515132241	0.00228043688859693	0.00801979147399187	0.15944341286089	2	31	5
GO:0035282	segmentation	actinopterygii	2.5322871457547	0.00240825874418724	0.00841285054636075	0.00202437707492751	9	132	13
GO:0065009	regulation of molecular function	actinopterygii	2.31253540993712	0.00274308913761727	0.00951906429212881	0.0706601988459143	8	225	15
GO:0061035	regulation of cartilage development	actinopterygii	3.8071426014628	0.00283317030000665	0.00976698182370714	0.0639508419236592	3	41	7
GO:0021517	ventral spinal cord development	actinopterygii	3.10932306307363	0.00294126812270174	0.010073362720887	7.72937411650207e-05	8	58	9
GO:0016331	morphogenesis of embryonic epithelium	actinopterygii	2.57314062725458	0.00306366923674947	0.0104244329873813	0.000442952315542338	8	80	12
GO:0021510	spinal cord development	actinopterygii	2.6842569695541	0.0032805676915042	0.011090435292569	5.95219710306309e-05	10	94	11
GO:0090287	regulation of cellular response to growth factor stimulus	actinopterygii	2.17942878022625	0.00356712086701884	0.0119351845718674	0.00373037983557583	10	178	16
GO:0060972	left/right pattern formation	actinopterygii	1.97878946888704	0.00358468458917637	0.0119351845718674	0.00898629855823894	13	315	20
GO:0042490	mechanoreceptor differentiation	actinopterygii	2.81102165280442	0.00359877702739512	0.0119351845718674	0.0322355448856519	5	84	10
GO:0022600	digestive system process	actinopterygii	4.91982241032366	0.00387690889318462	0.0127767311951493	0.452383937413309	1	29	5
GO:0008589	regulation of smoothened signaling pathway	actinopterygii	3.58681653603091	0.0039105213600606	0.0128069574541985	0.00361567377560623	5	44	7
GO:0035883	enteroendocrine cell differentiation	actinopterygii	4.09312274860932	0.0039392449209542	0.0128208965129193	0.00333870416001119	5	43	6
GO:0048663	neuron fate commitment	actinopterygii	3.57705321758832	0.00396804586920289	0.0128349137991501	0.00107693147747263	6	50	7
GO:0042461	photoreceptor cell development	actinopterygii	2.75440550791957	0.00413941720872812	0.0132444285519173	0.0140742122955127	6	93	10
GO:0045664	regulation of neuron differentiation	actinopterygii	2.94796797097243	0.00414520282922604	0.0132444285519173	0.0136077596834625	5	64	9
GO:0003158	endothelium development	actinopterygii	2.73763189392825	0.00431600632018375	0.0137065897683411	0.0729661803793881	4	75	10
GO:0061351	neural precursor cell proliferation	actinopterygii	3.50822296135847	0.00440185138445237	0.0138579908020582	0.0174482438039276	4	44	7
GO:0060841	venous blood vessel development	actinopterygii	4.76837298991196	0.00441657340447275	0.0138579908020582	0.0136077596834625	3	20	5
GO:0048857	neural nucleus development	actinopterygii	3.92930986087321	0.00478565418197338	0.0149266832818694	0.125374745569598	2	26	6
GO:0043547	positive regulation of GTPase activity	actinopterygii	3.90594053903168	0.00492281358706872	0.0151738489389648	0.532416562904006	1	40	6
GO:0051345	positive regulation of hydrolase activity	actinopterygii	3.90594053903168	0.00492281358706872	0.0151738489389648	0.532416562904006	1	40	6
GO:0006109	regulation of carbohydrate metabolic process	actinopterygii	3.88805076676004	0.00503088981972245	0.0153528328754472	0.245480148263543	2	43	6
GO:0003206	cardiac chamber morphogenesis	actinopterygii	3.88664802698724	0.0050394794934674	0.0153528328754472	0.173751726826928	2	33	6
GO:0060042	retina morphogenesis in camera-type eye	actinopterygii	2.22577742644623	0.00517258555519257	0.0156672533579243	0.00098084463819872	10	144	14
GO:0072080	nephron tubule development	actinopterygii	3.84650872284808	0.00529261154879355	0.015938669261884	0.0395946471333433	3	33	6
GO:2001234	negative regulation of apoptotic signaling pathway	actinopterygii	3.81297949312041	0.00551537576100367	0.016514610850091	0.0227255033076932	4	48	6
GO:0007586	digestion	actinopterygii	4.48310627462376	0.00569801184575452	0.0169645352680419	0.508533226733174	1	36	5
GO:0001946	lymphangiogenesis	actinopterygii	3.30142118115447	0.00606460001679477	0.017953957111867	0.00516793893198206	5	48	7
GO:0051146	striated muscle cell differentiation	actinopterygii	1.90683961841137	0.00650059703628494	0.0191365890281646	0.000303987953966367	15	260	19
GO:0048738	cardiac muscle tissue development	actinopterygii	2.32557732159157	0.00666665781468965	0.0194357641967791	0.0353332677655137	6	119	12
GO:0043087	regulation of GTPase activity	actinopterygii	3.66039325312413	0.00667640754851192	0.0194357641967791	0.554059522956869	1	43	6
GO:0061326	renal tubule development	actinopterygii	3.63980534604316	0.00685374911806653	0.0198417930268887	0.0488395426111152	3	36	6
GO:0061053	somite development	actinopterygii	2.20238782016952	0.00749205439593964	0.0215705302388592	0.00147609035969975	10	153	13
GO:0060872	semicircular canal development	actinopterygii	4.14311839101034	0.00785357583154528	0.0223073942269808	0.0307259447005499	3	29	5
GO:0031017	exocrine pancreas development	actinopterygii	3.52466738777698	0.00795179901203433	0.0223073942269808	0.306184432007195	2	53	6
GO:0035272	exocrine system development	actinopterygii	3.52466738777698	0.00795179901203433	0.0223073942269808	0.306184432007195	2	53	6
GO:0009799	specification of symmetry	actinopterygii	1.83429874173297	0.0079608448863462	0.0223073942269808	0.0136077596834625	13	336	20
GO:0009855	determination of bilateral symmetry	actinopterygii	1.83429874173297	0.0079608448863462	0.0223073942269808	0.0136077596834625	13	336	20
GO:0072114	pronephros morphogenesis	actinopterygii	4.11660752943035	0.0080593596619157	0.0224633216108714	0.490714652909813	1	34	5
GO:0030178	negative regulation of Wnt signaling pathway	actinopterygii	2.48761297342854	0.0081830651873336	0.0226874399902794	0.0140742122955127	6	93	10
GO:0006096	glycolytic process	actinopterygii	4.0897369814137	0.00827451913762053	0.0227007750162993	0.288432441914098	2	50	5
GO:0046032	ADP catabolic process	actinopterygii	4.0897369814137	0.00827451913762053	0.0227007750162993	0.288432441914098	2	50	5
GO:0009137	purine nucleoside diphosphate catabolic process	actinopterygii	4.06247746669661	0.00849981595555178	0.023077220521809	0.293894781170481	2	51	5
GO:0009181	purine ribonucleoside diphosphate catabolic process	actinopterygii	4.06247746669661	0.00849981595555178	0.023077220521809	0.293894781170481	2	51	5
GO:0098609	cell-cell adhesion	actinopterygii	1.55014249804024	0.00891290006883108	0.0240740187426159	1.87796048887856e-05	24	451	34
GO:0019364	pyridine nucleotide catabolic process	actinopterygii	3.99926345459061	0.00905098362270259	0.0241975276443681	0.306184432007195	2	53	5
GO:0072526	pyridine-containing compound catabolic process	actinopterygii	3.99926345459061	0.00905098362270259	0.0241975276443681	0.306184432007195	2	53	5
GO:0046890	regulation of lipid biosynthetic process	actinopterygii	3.97500394679365	0.00927372832084069	0.0246671758381752	0.00870212600560957	4	34	5
GO:0043085	positive regulation of catalytic activity	actinopterygii	3.0318712113328	0.00940267052118402	0.0248838351166688	0.366933902071425	2	65	7
GO:0048704	embryonic skeletal system morphogenesis	actinopterygii	1.91131986966168	0.00949448947962792	0.0250005652629398	0.00300003343778002	11	203	17
GO:1901264	carbohydrate derivative transport	actinopterygii	3.925208496755	0.00975170839427649	0.0255494759930044	0.325723140153561	2	57	5
GO:0046031	ADP metabolic process	actinopterygii	3.91332017646618	0.00987012032028683	0.0257310599394542	0.309121288012927	2	54	5
GO:0036303	lymph vessel morphogenesis	actinopterygii	2.99138678586294	0.0100644549027339	0.0260058113543912	0.00601683426715721	5	50	7
GO:0009135	purine nucleoside diphosphate metabolic process	actinopterygii	3.88835451868485	0.0101243998402592	0.0260058113543912	0.312381699394579	2	55	5
GO:0009179	purine ribonucleoside diphosphate metabolic process	actinopterygii	3.88835451868485	0.0101243998402592	0.0260058113543912	0.312381699394579	2	55	5
