id	cluster
GO:0006346	2
GO:0032101	5
GO:0003006	4
GO:0060562	4
GO:0038202	5
GO:0006367	1
GO:0000724	1
GO:0042255	2
GO:0001946	4
GO:0045103	6
GO:0045104	2
GO:0021986	4
GO:0072330	1
GO:0032006	5
GO:0008286	5
GO:0000725	1
GO:0071383	5
GO:0008277	5
GO:0007272	4
GO:0008366	4
GO:0002218	5
GO:0045088	5
GO:0042471	4
GO:1990573	3
GO:0048895	4
GO:0048937	4
GO:0051247	1
GO:0015810	3
GO:0098659	3
GO:0099587	3
GO:0055008	4
GO:0007030	2
GO:0007600	4
GO:0030488	1
GO:0030258	1
GO:0001894	4
GO:0035967	5
GO:1903432	5
GO:0032355	5
GO:1901991	11
GO:1902115	2
GO:0014855	19
GO:1902806	11
GO:0042770	5
GO:0010996	5
GO:0000280	2
GO:0019226	4
GO:0031123	1
GO:0001756	4
GO:0051289	2
GO:0048570	4
GO:0051168	3
GO:0071482	5
GO:1903050	1
GO:0071599	4
GO:0007019	2
GO:0007266	5
GO:0007035	7
GO:0060038	4
GO:0031145	1
GO:0051051	3
GO:0048264	4
GO:0009725	5
GO:0008210	1
GO:0002521	4
GO:0009069	1
GO:0000266	2
GO:0006739	1
GO:0032886	20
GO:0061013	1
GO:0006909	3
GO:0060993	4
GO:0015908	3
GO:0033059	13
GO:0030282	4
GO:0039019	4
GO:0048511	12
GO:0032507	3
GO:0010507	1
GO:1902807	11
GO:2000134	11
GO:0035282	4
GO:0072384	3
GO:0048821	4
GO:0045814	1
GO:0003341	8
GO:0051241	4
GO:0001501	4
GO:0002221	5
GO:0002758	5
GO:0000288	1
GO:0000423	1
GO:0048701	4
GO:0051452	7
GO:0141091	5
GO:0043547	15
GO:0051345	15
GO:0042472	4
GO:0072530	3
GO:0099637	3
GO:0030217	4
GO:0046068	1
GO:0060249	4
GO:0045124	4
GO:0032869	5
GO:0061136	1
GO:0170035	1
GO:0032271	2
GO:0007632	4
GO:0045109	2
GO:0000028	2
GO:0060348	4
GO:1901606	1
GO:0045185	3
GO:0015748	3
GO:0071396	5
GO:0072073	4
GO:0001569	4
GO:0043173	1
GO:0032008	5
GO:0019318	1
GO:0030388	1
GO:0008360	4
GO:0033260	1
GO:1904262	5
GO:0030111	5
GO:0006783	1
GO:0140013	11
GO:0022616	1
GO:0110154	1
GO:0046903	3
GO:0044272	1
GO:0010883	21
GO:0050657	3
GO:0050658	3
GO:0051236	3
GO:0007052	11
GO:0006779	1
GO:0033014	1
GO:0099518	3
GO:0044087	2
GO:0055062	7
GO:0003013	4
GO:0001710	4
GO:0031110	2
GO:0043484	1
GO:0050684	1
GO:0014032	4
GO:0048864	4
GO:1903053	2
GO:0039021	4
GO:0000075	11
GO:0140352	3
GO:1901137	1
GO:0036303	4
GO:0060485	4
GO:0040029	1
GO:0061157	1
GO:0009451	1
GO:0008015	4
GO:0061014	1
GO:0000910	11
GO:0050779	1
GO:0003231	4
GO:0099003	3
GO:0099504	3
GO:0007062	11
GO:0072102	4
GO:0030900	4
GO:0110053	2
GO:0035987	4
GO:0030336	22
GO:0006271	1
GO:0000027	2
GO:0009880	4
GO:0033002	19
GO:0050878	14
GO:0023061	3
GO:0031570	11
GO:0010824	11
GO:0046605	11
GO:0016925	1
GO:1902969	1
GO:0035850	4
GO:0031016	4
GO:0009063	1
GO:1902600	3
GO:0043487	1
GO:1903046	11
GO:0030278	4
GO:0052652	1
GO:2000785	2
GO:0051494	2
GO:0061005	4
GO:0051028	3
GO:0008154	2
GO:0035384	1
GO:0071616	1
GO:0007501	4
GO:0031214	4
GO:0042743	23
GO:0006171	1
GO:0000723	1
GO:0032200	2
GO:0072114	4
GO:0006820	3
GO:0006937	4
GO:0034727	1
GO:0050795	4
GO:0021782	4
GO:0000289	1
GO:0016485	1
GO:1903312	1
GO:0072009	4
GO:0009187	1
GO:0005996	1
GO:0030277	4
GO:0032940	3
GO:0047496	3
GO:0043488	1
GO:0014013	4
GO:0030509	5
GO:0071772	5
GO:0071773	5
GO:0045892	1
GO:1902679	1
GO:0042147	3
GO:0007127	11
GO:0048483	4
GO:2000045	11
GO:0030183	4
GO:0001947	4
GO:0009581	5
GO:0009582	5
GO:0120178	1
GO:0055006	4
GO:0006813	3
GO:0045739	1
GO:0090596	4
GO:0043087	15
GO:0006282	1
GO:0030832	2
GO:0006835	3
GO:0048897	4
GO:0048931	4
GO:0048932	4
GO:0048938	4
GO:0048941	4
GO:0048942	4
GO:0010639	2
GO:1903010	4
GO:0032968	1
GO:0006352	1
GO:0051204	3
GO:0090151	3
GO:0019233	4
GO:0048545	5
GO:0032870	5
GO:0009395	1
GO:0010001	4
GO:0046653	18
GO:0045089	5
GO:2000146	22
GO:0051261	2
GO:0009060	1
GO:0048918	4
GO:0055113	4
GO:0043244	2
GO:0046148	1
GO:0042063	4
GO:0170040	1
GO:0007229	5
GO:0071897	1
GO:0032925	5
GO:0035023	5
GO:0016237	1
GO:0008064	2
GO:0035051	4
GO:1903313	1
GO:0006182	1
GO:0048925	4
GO:0032011	5
GO:0032012	5
GO:0002833	5
GO:0003140	4
GO:0061515	4
GO:1901264	3
GO:0072657	3
GO:0046037	1
GO:0007193	5
GO:0050805	24
GO:0031349	5
GO:0048703	4
GO:0060729	4
GO:0060034	4
GO:0072350	1
GO:0030098	4
GO:0001702	4
GO:0042168	1
GO:0085029	2
GO:0006312	1
GO:0022898	3
GO:0032409	15
GO:0006778	1
GO:0055013	4
GO:0032868	5
GO:0042537	6
GO:0046467	1
GO:0090066	14
GO:0072028	4
GO:0042445	14
GO:0006637	1
GO:0035383	1
GO:0045743	5
GO:0003205	4
GO:0048262	4
GO:0001945	4
GO:0048668	4
GO:0032007	5
GO:0003146	4
GO:0044786	1
GO:0033500	7
GO:0042593	7
GO:0050767	4
GO:0001755	4
GO:0062207	5
GO:0046850	4
GO:0043604	1
GO:0006505	1
GO:0006506	1
GO:0007178	5
GO:0045333	1
