ID	Description	Cluster	FoldEnrichment	pvalue	p.adjust	p.adjust_hyper	GeneHits	GeneSetSize	RegionHits
GO:0050931	pigment cell differentiation	actinopterygii	2.03642610488072	0.00436252998657536	0.0284723575452334	0.0030567803292999	11	66	18
GO:0009416	response to light stimulus	actinopterygii	1.7753084171919	0.00446844946181288	0.0288873672502045	0.000214013932741895	22	154	26
GO:0010996	response to auditory stimulus	actinopterygii	3.16863489757614	0.00446888212826998	0.0288873672502045	0.0220991312103433	4	16	8
GO:0060284	regulation of cell development	actinopterygii	1.47758453335882	0.00473589738835215	0.0303232102922453	1.51890558396042e-07	39	257	51
GO:0072001	renal system development	actinopterygii	1.51041086995364	0.0048215562471547	0.0306634469142836	0.00117383460606314	27	240	46
GO:0014033	neural crest cell differentiation	actinopterygii	1.52583053515716	0.0048344294542875	0.0306634469142836	2.82864838082139e-05	26	174	44
GO:0060028	convergent extension involved in axis elongation	actinopterygii	2.55016500413398	0.00488419046675377	0.0308343052363754	0.000858725122292891	9	38	11
GO:0040036	regulation of fibroblast growth factor receptor signaling pathway	actinopterygii	2.32823217115375	0.00496085276590979	0.0310282966978895	0.0385277151132998	6	40	13
GO:0031214	biomineral tissue development	actinopterygii	2.11068736620125	0.0049959601352325	0.0311038808419314	0.00176892442230299	12	71	16
GO:0008543	fibroblast growth factor receptor signaling pathway	actinopterygii	1.89103745618104	0.00505371830096223	0.0313191441495411	0.00477225183311111	12	81	21
GO:0003231	cardiac ventricle development	actinopterygii	2.53319749356807	0.00512438200271558	0.0316120551857021	0.0020496403265434	8	35	11
GO:0021537	telencephalon development	actinopterygii	2.22521154774275	0.00534829376611426	0.0322795359253748	0.00902988663149393	7	36	14
GO:0071867	response to monoamine	actinopterygii	2.65340662137273	0.0054395804857981	0.0322795359253748	0.00679137268472299	7	34	10
GO:0071868	cellular response to monoamine stimulus	actinopterygii	2.65340662137273	0.0054395804857981	0.0322795359253748	0.00679137268472299	7	34	10
